Wed Aug 26 14:44:09 2020    profile/one_dim.out

         4791189 function calls (4776247 primitive calls) in 5.154 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.096    0.012 /home/mary/mypydmrg/dmrghelpers/superblockhelper.py:19(leftext_hamiltonian_to_superblock)
    44681    0.022    0.000    0.095    0.000 <__array_function__ internals>:2(can_cast)
        3    0.003    0.001    0.084    0.028 /home/mary/mypydmrg/dmrg/nrg_iter.py:137(get_phival_from_hamleft)
       24    0.003    0.000    0.076    0.003 /home/mary/mypydmrg/dmrghelpers/operhelper.py:140(leftsite_extend_oper)
        1    0.000    0.000    0.074    0.074 /home/mary/.local/lib/python3.8/site-packages/numpy/__init__.py:1(<module>)
    11251    0.010    0.000    0.071    0.000 {method 'sum' of 'numpy.ndarray' objects}
    70733    0.055    0.000    0.070    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/coo.py:239(getnnz)
     3220    0.006    0.000    0.064    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/dok.py:74(__init__)
    11251    0.003    0.000    0.061    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_methods.py:45(_sum)
      921    0.001    0.000    0.057    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:294(asformat)
        5    0.001    0.000    0.056    0.011 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:46(extend_rightblock_hamiltonian)
       17    0.000    0.000    0.052    0.003 /home/mary/mypydmrg/dmrghelpers/operhelper.py:249(rightsite_extend_oper)
      157    0.001    0.000    0.049    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:884(tocsr)
      132    0.000    0.000    0.046    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:405(__add__)
        1    0.000    0.000    0.041    0.041 /home/mary/mypydmrg/dmrg/dmrg_init.py:1(<module>)
539284/539044    0.041    0.000    0.041    0.000 {built-in method builtins.len}
    12923    0.040    0.000    0.040    0.000 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
        8    0.001    0.000    0.040    0.005 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:1352(eigsh)
    15066    0.010    0.000    0.040    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:330(_maybe_bool_ndarray)
      132    0.000    0.000    0.039    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:357(_add_sparse)
    12820    0.039    0.000    0.039    0.000 {built-in method numpy.empty}
    37909    0.017    0.000    0.039    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/data.py:20(__init__)
      132    0.002    0.000    0.039    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:1210(_binopt)
        1    0.000    0.000    0.039    0.039 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:1(<module>)
    21664    0.039    0.000    0.039    0.000 {method 'astype' of 'numpy.ndarray' objects}
      588    0.023    0.000    0.037    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:535(iterate)
22802/22535    0.020    0.000    0.037    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:339(_first_element_bool)
        8    0.033    0.004    0.036    0.005 /home/mary/mypydmrg/dmrg/dmrg_iter.py:81(get_density_root)
    32736    0.019    0.000    0.036    0.000 <frozen importlib._bootstrap>:389(parent)
       32    0.000    0.000    0.036    0.001 /home/mary/mypydmrg/dmrghelpers/operhelper.py:121(leftblock_extend_oper)
    19392    0.033    0.000    0.034    0.000 /home/mary/mypydmrg/fermionic/block.py:396(idxpair_to_idx)
       24    0.000    0.000    0.034    0.001 /home/mary/mypydmrg/fermionic/baseop.py:121(add_hopping_term)
        1    0.000    0.000    0.034    0.034 /home/mary/.local/lib/python3.8/site-packages/numpy/core/__init__.py:1(<module>)
      189    0.001    0.000    0.034    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:238(_set_arrayXarray_sparse)
    42335    0.033    0.000    0.033    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:107(getnnz)
   123387    0.026    0.000    0.033    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/sputils.py:278(<genexpr>)
    18187    0.004    0.000    0.033    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/_asarray.py:86(asanyarray)
   309885    0.032    0.000    0.032    0.000 {built-in method builtins.isinstance}
     3198    0.005    0.000    0.031    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/dok.py:156(_get_intXint)
      244    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:849(get_code)
       47    0.000    0.000    0.030    0.001 /home/mary/mypydmrg/fermionic/baseop.py:225(get_block)
       35    0.000    0.000    0.029    0.001 /home/mary/mypydmrg/dmrghelpers/operhelper.py:191(update_leftblockextend_oper)
    56085    0.029    0.000    0.029    0.000 {built-in method builtins.max}
      189    0.023    0.000    0.028    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/dok.py:232(_set_arrayXarray)
      178    0.002    0.000    0.027    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/compressed.py:675(_major_index_fancy)
     6917    0.027    0.000    0.027    0.000 {method 'get' of 'dict' objects}
    19392    0.027    0.000    0.027    0.000 /home/mary/mypydmrg/basics/basis.py:309(sitecode_to_idx)
   221115    0.025    0.000    0.025    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:80(get_shape)
        1    0.000    0.000    0.024    0.024 /home/mary/mypydmrg/dmrg/dmrg_right_to_left.py:1(<module>)
    41129    0.024    0.000    0.024    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:66(__init__)
        1    0.000    0.000    0.023    0.023 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/linalg/__init__.py:1(<module>)
      146    0.006    0.000    0.023    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/dia.py:359(tocoo)
       68    0.001    0.000    0.023    0.000 /home/mary/mypydmrg/fermionic/baseop.py:102(addnewterm)
      163    0.002    0.000    0.023    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/csr.py:175(tocsc)
      232    0.001    0.000    0.022    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.022    0.022 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/__init__.py:1(<module>)
    18756    0.021    0.000    0.022    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/_index.py:291(_check_ellipsis)
  310/307    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    65226    0.021    0.000    0.021    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:509(min)
    13885    0.005    0.000    0.021    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/construct.py:600(<genexpr>)
        1    0.001    0.001    0.019    0.019 /home/mary/.local/lib/python3.8/site-packages/scipy/__init__.py:1(<module>)
    37780    0.019    0.000    0.019    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
    65858    0.013    0.000    0.019    0.000 /home/mary/.local/lib/python3.8/site-packages/scipy/sparse/base.py:1188(isspmatrix)
    26694    0.019    0.000    0.019    0.000 {built-in method builtins.iter}
      316    0.001    0.000    0.018    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/overrides.py:166(decorator)
    34590    0.018    0.000    0.018    0.000 {method 'rpartition' of 'str' objects}
      322    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:890(_find_spec)
