Mon Aug 17 08:21:21 2020    profile/ladder

         1163977 function calls (1161708 primitive calls) in 64.321 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      485    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      157    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
        1    0.000    0.000    0.181    0.181 /home/mary/.local/lib/python3.8/site-packages/numpy/__init__.py:1(<module>)
       20    0.000    0.000    0.015    0.001 /home/mary/mypydmrg/basics/basis.py:250(__init__)
     1127    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     2151    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
        1    0.000    0.000    0.041    0.041 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/__init__.py:1(<module>)
      274    0.000    0.000    0.001    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/core/function_base.py:437(_add_docstring)
    246/7    0.000    0.000    0.195    0.028 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/datetime.py:488(__new__)
      954    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      840    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 /home/mary/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:94(_register_known_types)
       93    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       64    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       21    0.000    0.000    0.009    0.000 /usr/lib/python3.8/sre_compile.py:759(compile)
      152    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/linalg/linalg.py:107(_makearray)
      131    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/dmrghelpers/hamhelper.py:60(update_rightblockextend_hamiltonian)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.004    0.004 /home/mary/.local/lib/python3.8/site-packages/numpy/lib/function_base.py:1(<module>)
      201    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       13    0.000    0.000    0.000    0.000 /home/mary/mypydmrg/fermionic/block.py:12(__init__)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      360    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      152    0.000    0.000    0.115    0.001 <__array_function__ internals>:2(eigh)
       21    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       40    0.000    0.000    0.000    0.000 /home/mary/.local/lib/python3.8/site-packages/numpy/compat/_inspect.py:140(formatargspec)
